sin(x),cos(x)
sin(1.220) = 0.939,cos(1.220) = 0.344
sin(1.230) = 0.942,cos(1.230) = 0.334
sin(1.240) = 0.946,cos(1.240) = 0.325
sin(1.250) = 0.949,cos(1.250) = 0.315
sin(1.260) = 0.952,cos(1.260) = 0.306
sin(1.270) = 0.955,cos(1.270) = 0.296
sin(1.280) = 0.958,cos(1.280) = 0.287
sin(1.290) = 0.961,cos(1.290) = 0.277
sin(1.300) = 0.964,cos(1.300) = 0.267
sin(1.310) = 0.966,cos(1.310) = 0.258
sin(1.320) = 0.969,cos(1.320) = 0.248
sin(1.330) = 0.971,cos(1.330) = 0.238
sin(1.340) = 0.973,cos(1.340) = 0.229
sin(1.350) = 0.976,cos(1.350) = 0.219
sin(1.360) = 0.978,cos(1.360) = 0.209
sin(1.370) = 0.980,cos(1.370) = 0.199
sin(1.380) = 0.982,cos(1.380) = 0.190
sin(1.390) = 0.984,cos(1.390) = 0.180
sin(1.400) = 0.985,cos(1.400) = 0.170
sin(1.410) = 0.987,cos(1.410) = 0.160
sin(1.420) = 0.989,cos(1.420) = 0.150
sin(1.430) = 0.990,cos(1.430) = 0.140
sin(1.440) = 0.991,cos(1.440) = 0.130
sin(1.450) = 0.993,cos(1.450) = 0.121
sin(1.460) = 0.994,cos(1.460) = 0.111
sin(1.470) = 0.995,cos(1.470) = 0.101
sin(1.480) = 0.996,cos(1.480) = 0.091
sin(1.490) = 0.997,cos(1.490) = 0.081
sin(1.500) = 0.997,cos(1.500) = 0.071
sin(1.510) = 0.998,cos(1.510) = 0.061
sin(1.520) = 0.999,cos(1.520) = 0.051
sin(1.530) = 0.999,cos(1.530) = 0.041
sin(1.540) = 1.000,cos(1.540) = 0.031
sin(1.550) = 1.000,cos(1.550) = 0.021
sin(1.560) = 1.000,cos(1.560) = 0.011
sin(1.570) = 1.000,cos(1.570) = 0.001
sin(1.580) = 1.000,cos(1.580) = -0.009
sin(1.590) = 1.000,cos(1.590) = -0.019
sin(1.600) = 1.000,cos(1.600) = -0.029
sin(1.610) = 0.999,cos(1.610) = -0.039
sin(1.620) = 0.999,cos(1.620) = -0.049
sin(1.630) = 0.998,cos(1.630) = -0.059
sin(1.640) = 0.998,cos(1.640) = -0.069
sin(1.650) = 0.997,cos(1.650) = -0.079
sin(1.660) = 0.996,cos(1.660) = -0.089
sin(1.670) = 0.995,cos(1.670) = -0.099
sin(1.680) = 0.994,cos(1.680) = -0.109
sin(1.690) = 0.993,cos(1.690) = -0.119
sin(1.700) = 0.992,cos(1.700) = -0.129
sin(1.710) = 0.990,cos(1.710) = -0.139
sin(1.720) = 0.989,cos(1.720) = -0.149
sin(1.730) = 0.987,cos(1.730) = -0.159
sin(1.740) = 0.986,cos(1.740) = -0.168
sin(1.750) = 0.984,cos(1.750) = -0.178
sin(1.760) = 0.982,cos(1.760) = -0.188
sin(1.770) = 0.980,cos(1.770) = -0.198
sin(1.780) = 0.978,cos(1.780) = -0.208
sin(1.790) = 0.976,cos(1.790) = -0.217
sin(1.800) = 0.974,cos(1.800) = -0.227
sin(1.810) = 0.972,cos(1.810) = -0.237
sin(1.820) = 0.969,cos(1.820) = -0.247
sin(1.830) = 0.967,cos(1.830) = -0.256
sin(1.840) = 0.964,cos(1.840) = -0.266
sin(1.850) = 0.961,cos(1.850) = -0.276
sin(1.860) = 0.958,cos(1.860) = -0.285
sin(1.870) = 0.956,cos(1.870) = -0.295
sin(1.880) = 0.953,cos(1.880) = -0.304
sin(1.890) = 0.949,cos(1.890) = -0.314
sin(1.900) = 0.946,cos(1.900) = -0.323
sin(1.910) = 0.943,cos(1.910) = -0.333
sin(1.920) = 0.940,cos(1.920) = -0.342
sin(1.930) = 0.936,cos(1.930) = -0.352
sin(1.940) = 0.933,cos(1.940) = -0.361
sin(1.950) = 0.929,cos(1.950) = -0.370
sin(1.960) = 0.925,cos(1.960) = -0.379
sin(1.970) = 0.921,cos(1.970) = -0.389
sin(1.980) = 0.917,cos(1.980) = -0.398
sin(1.990) = 0.913,cos(1.990) = -0.407
sin(2.000) = 0.909,cos(2.000) = -0.416
sin(2.010) = 0.905,cos(2.010) = -0.425
sin(2.020) = 0.901,cos(2.020) = -0.434
sin(2.030) = 0.896,cos(2.030) = -0.443
sin(2.040) = 0.892,cos(2.040) = -0.452
sin(2.050) = 0.887,cos(2.050) = -0.461
sin(2.060) = 0.883,cos(2.060) = -0.470
sin(2.070) = 0.878,cos(2.070) = -0.479
sin(2.080) = 0.873,cos(2.080) = -0.487
sin(2.090) = 0.868,cos(2.090) = -0.496
sin(2.100) = 0.863,cos(2.100) = -0.505
sin(2.110) = 0.858,cos(2.110) = -0.513
sin(2.120) = 0.853,cos(2.120) = -0.522
sin(2.130) = 0.848,cos(2.130) = -0.531
sin(2.140) = 0.842,cos(2.140) = -0.539
sin(2.150) = 0.837,cos(2.150) = -0.547
sin(2.160) = 0.831,cos(2.160) = -0.556
sin(2.170) = 0.826,cos(2.170) = -0.564
sin(2.180) = 0.820,cos(2.180) = -0.572
sin(2.190) = 0.814,cos(2.190) = -0.580
sin(2.200) = 0.808,cos(2.200) = -0.589
sin(2.210) = 0.803,cos(2.210) = -0.597
sin(2.220) = 0.797,cos(2.220) = -0.605
sin(2.230) = 0.790,cos(2.230) = -0.612
sin(2.240) = 0.784,cos(2.240) = -0.620
sin(2.250) = 0.778,cos(2.250) = -0.628
sin(2.260) = 0.772,cos(2.260) = -0.636
sin(2.270) = 0.765,cos(2.270) = -0.644
sin(2.280) = 0.759,cos(2.280) = -0.651
sin(2.290) = 0.752,cos(2.290) = -0.659
sin(2.300) = 0.746,cos(2.300) = -0.666
sin(2.310) = 0.739,cos(2.310) = -0.674
sin(2.320) = 0.732,cos(2.320) = -0.681
sin(2.330) = 0.725,cos(2.330) = -0.688
sin(2.340) = 0.718,cos(2.340) = -0.696
sin(2.350) = 0.711,cos(2.350) = -0.703
sin(2.360) = 0.704,cos(2.360) = -0.710
sin(2.370) = 0.697,cos(2.370) = -0.717
sin(2.380) = 0.690,cos(2.380) = -0.724
sin(2.390) = 0.683,cos(2.390) = -0.731
sin(2.400) = 0.675,cos(2.400) = -0.737
