sin(x),cos(x)
sin(5.360) = -0.798,cos(5.360) = 0.603
sin(5.370) = -0.791,cos(5.370) = 0.611
sin(5.380) = -0.785,cos(5.380) = 0.619
sin(5.390) = -0.779,cos(5.390) = 0.627
sin(5.400) = -0.773,cos(5.400) = 0.635
sin(5.410) = -0.766,cos(5.410) = 0.642
sin(5.420) = -0.760,cos(5.420) = 0.650
sin(5.430) = -0.753,cos(5.430) = 0.658
sin(5.440) = -0.747,cos(5.440) = 0.665
sin(5.450) = -0.740,cos(5.450) = 0.673
sin(5.460) = -0.733,cos(5.460) = 0.680
sin(5.470) = -0.726,cos(5.470) = 0.687
sin(5.480) = -0.720,cos(5.480) = 0.694
sin(5.490) = -0.713,cos(5.490) = 0.702
sin(5.500) = -0.706,cos(5.500) = 0.709
sin(5.510) = -0.698,cos(5.510) = 0.716
sin(5.520) = -0.691,cos(5.520) = 0.723
sin(5.530) = -0.684,cos(5.530) = 0.730
sin(5.540) = -0.677,cos(5.540) = 0.736
sin(5.550) = -0.669,cos(5.550) = 0.743
sin(5.560) = -0.662,cos(5.560) = 0.750
sin(5.570) = -0.654,cos(5.570) = 0.756
sin(5.580) = -0.647,cos(5.580) = 0.763
sin(5.590) = -0.639,cos(5.590) = 0.769
sin(5.600) = -0.631,cos(5.600) = 0.776
sin(5.610) = -0.623,cos(5.610) = 0.782
sin(5.620) = -0.616,cos(5.620) = 0.788
sin(5.630) = -0.608,cos(5.630) = 0.794
sin(5.640) = -0.600,cos(5.640) = 0.800
sin(5.650) = -0.592,cos(5.650) = 0.806
sin(5.660) = -0.584,cos(5.660) = 0.812
sin(5.670) = -0.575,cos(5.670) = 0.818
sin(5.680) = -0.567,cos(5.680) = 0.824
sin(5.690) = -0.559,cos(5.690) = 0.829
sin(5.700) = -0.551,cos(5.700) = 0.835
sin(5.710) = -0.542,cos(5.710) = 0.840
sin(5.720) = -0.534,cos(5.720) = 0.846
sin(5.730) = -0.525,cos(5.730) = 0.851
sin(5.740) = -0.517,cos(5.740) = 0.856
sin(5.750) = -0.508,cos(5.750) = 0.861
sin(5.760) = -0.500,cos(5.760) = 0.866
sin(5.770) = -0.491,cos(5.770) = 0.871
sin(5.780) = -0.482,cos(5.780) = 0.876
sin(5.790) = -0.473,cos(5.790) = 0.881
sin(5.800) = -0.465,cos(5.800) = 0.886
sin(5.810) = -0.456,cos(5.810) = 0.890
sin(5.820) = -0.447,cos(5.820) = 0.895
sin(5.830) = -0.438,cos(5.830) = 0.899
sin(5.840) = -0.429,cos(5.840) = 0.903
sin(5.850) = -0.420,cos(5.850) = 0.908
sin(5.860) = -0.411,cos(5.860) = 0.912
sin(5.870) = -0.402,cos(5.870) = 0.916
sin(5.880) = -0.392,cos(5.880) = 0.920
sin(5.890) = -0.383,cos(5.890) = 0.924
sin(5.900) = -0.374,cos(5.900) = 0.927
sin(5.910) = -0.365,cos(5.910) = 0.931
sin(5.920) = -0.355,cos(5.920) = 0.935
sin(5.930) = -0.346,cos(5.930) = 0.938
sin(5.940) = -0.336,cos(5.940) = 0.942
sin(5.950) = -0.327,cos(5.950) = 0.945
sin(5.960) = -0.318,cos(5.960) = 0.948
sin(5.970) = -0.308,cos(5.970) = 0.951
sin(5.980) = -0.299,cos(5.980) = 0.954
sin(5.990) = -0.289,cos(5.990) = 0.957
sin(6.000) = -0.279,cos(6.000) = 0.960
sin(6.010) = -0.270,cos(6.010) = 0.963
sin(6.020) = -0.260,cos(6.020) = 0.966
sin(6.030) = -0.250,cos(6.030) = 0.968
sin(6.040) = -0.241,cos(6.040) = 0.971
sin(6.050) = -0.231,cos(6.050) = 0.973
sin(6.060) = -0.221,cos(6.060) = 0.975
sin(6.070) = -0.212,cos(6.070) = 0.977
sin(6.080) = -0.202,cos(6.080) = 0.979
sin(6.090) = -0.192,cos(6.090) = 0.981
sin(6.100) = -0.182,cos(6.100) = 0.983
sin(6.110) = -0.172,cos(6.110) = 0.985
sin(6.120) = -0.162,cos(6.120) = 0.987
sin(6.130) = -0.153,cos(6.130) = 0.988
sin(6.140) = -0.143,cos(6.140) = 0.990
sin(6.150) = -0.133,cos(6.150) = 0.991
sin(6.160) = -0.123,cos(6.160) = 0.992
sin(6.170) = -0.113,cos(6.170) = 0.994
sin(6.180) = -0.103,cos(6.180) = 0.995
sin(6.190) = -0.093,cos(6.190) = 0.996
sin(6.200) = -0.083,cos(6.200) = 0.997
sin(6.210) = -0.073,cos(6.210) = 0.997
sin(6.220) = -0.063,cos(6.220) = 0.998
sin(6.230) = -0.053,cos(6.230) = 0.999
sin(6.240) = -0.043,cos(6.240) = 0.999
sin(6.250) = -0.033,cos(6.250) = 0.999
sin(6.260) = -0.023,cos(6.260) = 1.000
sin(6.270) = -0.013,cos(6.270) = 1.000
sin(6.280) = -0.003,cos(6.280) = 1.000
